,feature,score
342,"rATR(data,29)[1]",0.00048117545450348625
79,"rBollinger(data,""close"",28)[1]",0.00046264597523641666
215,"rMACD(data,""close"",49,24,9)",0.00045463205742054744
81,"rBollinger(data,""close"",29)[0]",0.00044110196204017995
369,"rATR(data,38)[1]",0.00044104838006504344
210,"rMACD(data,""close"",44,22,9)",0.0004265529807080354
211,"rMACD(data,""close"",45,22,9)",0.0004253993874886463
345,"rATR(data,30)[1]",0.0004238582938512583
684,"rSMA(data,""close"",30)",0.00042362783548555237
75,"rBollinger(data,""close"",27)[0]",0.0004138800224332418
97,"rBollinger(data,""close"",34)[1]",0.0004134594500685926
712,"rSMA(data,""close"",58)",0.0004119155220219631
149,"RSI(data,""close"",39)",0.00040874846184619747
94,"rBollinger(data,""close"",33)[1]",0.0004061290464565567
84,"rBollinger(data,""close"",30)[0]",0.000402143219497184
357,"rATR(data,34)[1]",0.00038844822382326765
30,"rBollinger(data,""close"",12)[0]",0.0003883843895590585
708,"rSMA(data,""close"",54)",0.00038542639960092057
462,"rEMA(data,""close"",98)",0.0003656469017876567
87,"rBollinger(data,""close"",31)[0]",0.00034685356004233797
27,"rBollinger(data,""close"",11)[0]",0.00034628424723837185
91,"rBollinger(data,""close"",32)[1]",0.00034467945819689706
363,"rATR(data,36)[1]",0.0003433349418040874
457,"rEMA(data,""close"",93)",0.00034087843635481017
452,"rEMA(data,""close"",88)",0.0003399482104725104
82,"rBollinger(data,""close"",29)[1]",0.00033963583800721865
685,"rSMA(data,""close"",31)",0.00033564584130910016
714,"rSMA(data,""close"",60)",0.00033236549645689707
209,"rMACD(data,""close"",43,21,9)",0.0003282365370771819
100,"rBollinger(data,""close"",35)[1]",0.0003246367085331134
688,"rSMA(data,""close"",34)",0.0003246207358209922
687,"rSMA(data,""close"",33)",0.0003207729094410183
451,"rEMA(data,""close"",87)",0.00031877064188297224
463,"rEMA(data,""close"",99)",0.000316598510535951
348,"rATR(data,31)[1]",0.0003165341438479981
103,"rBollinger(data,""close"",36)[1]",0.0003107279433735328
461,"rEMA(data,""close"",97)",0.0003100507448733092
695,"rSMA(data,""close"",41)",0.0003070015591887231
366,"rATR(data,37)[1]",0.00029703962689570665
93,"rBollinger(data,""close"",33)[0]",0.0002905635792270676
106,"rBollinger(data,""close"",37)[1]",0.00028915798474814307
88,"rBollinger(data,""close"",31)[1]",0.00028695778026494864
354,"rATR(data,33)[1]",0.00028609387064416447
90,"rBollinger(data,""close"",32)[0]",0.0002834295163566678
99,"rBollinger(data,""close"",35)[0]",0.00028290998618022426
85,"rBollinger(data,""close"",30)[1]",0.00027425922993094923
679,"rSMA(data,""close"",25)",0.0002705297208256912
681,"rSMA(data,""close"",27)",0.0002698491190187825
454,"rEMA(data,""close"",90)",0.0002651174143685148
96,"rBollinger(data,""close"",34)[0]",0.0002598463166814345
109,"rBollinger(data,""close"",38)[1]",0.00025791865690869085
682,"rSMA(data,""close"",28)",0.00024299943079262646
498,"rEMA(data,""close"",134)",0.00024261508073205226
105,"rBollinger(data,""close"",37)[0]",0.00024039913092565565
102,"rBollinger(data,""close"",36)[0]",0.00023932303674176867
112,"rBollinger(data,""close"",39)[1]",0.00022950234754259643
108,"rBollinger(data,""close"",38)[0]",0.00022823195603257886
129,"RSI(data,""close"",19)",0.00022738081834569035
460,"rEMA(data,""close"",96)",0.00022728090166133994
466,"rEMA(data,""close"",102)",0.00022494671411972422
459,"rEMA(data,""close"",95)",0.00022281512203284958
458,"rEMA(data,""close"",94)",0.00022103080813916986
770,"rSMA(data,""close"",116)",0.0002208551821923525
689,"rSMA(data,""close"",35)",0.00021862524526858695
694,"rSMA(data,""close"",40)",0.00021578897037939746
846,"rSMA(data,""close"",192)",0.00021171334307361155
152,"RSI(data,""open"",6)",0.00020849861274583838
453,"rEMA(data,""close"",89)",0.0002016878219796843
748,"rSMA(data,""close"",94)",0.00020073028813045015
739,"rSMA(data,""close"",85)",0.00019357629660133203
774,"rSMA(data,""close"",120)",0.00019230894213330827
250,"rMACD(data,""open"",44,22,9)",0.0001917305763846441
728,"rSMA(data,""close"",74)",0.00018473733005667817
730,"rSMA(data,""close"",76)",0.00018439217366120913
738,"rSMA(data,""close"",84)",0.00017802525262758257
254,"rMACD(data,""open"",48,24,9)",0.00017712820865170917
686,"rSMA(data,""close"",32)",0.00017617880674553364
852,"rSMA(data,""close"",198)",0.000175104491208445
464,"rEMA(data,""close"",100)",0.00017491371393087222
746,"rSMA(data,""close"",92)",0.00016761482220471817
251,"rMACD(data,""open"",45,22,9)",0.000166234083019771
849,"rSMA(data,""close"",195)",0.0001652280489366665
455,"rEMA(data,""close"",91)",0.00016405067190827135
855,"rSMA(data,""close"",201)",0.00016267607761158288
706,"rSMA(data,""close"",52)",0.0001589880483179109
219,"rMACD(data,""close"",53,26,9)",0.00015893929991604456
495,"rEMA(data,""close"",131)",0.00015845165860179766
222,"rMACD(data,""close"",56,28,9)",0.0001583376549228451
850,"rSMA(data,""close"",196)",0.00015631555328729697
768,"rSMA(data,""close"",114)",0.00015568164461557805
111,"rBollinger(data,""close"",39)[0]",0.0001548822964578871
690,"rSMA(data,""close"",36)",0.0001544750797787896
218,"rMACD(data,""close"",52,26,9)",0.00015195795398779998
772,"rSMA(data,""close"",118)",0.00015147547279049277
696,"rSMA(data,""close"",42)",0.00015044055875850743
465,"rEMA(data,""close"",101)",0.0001466624909973423
844,"rSMA(data,""close"",190)",0.00014497998384511323
744,"rSMA(data,""close"",90)",0.0001449633352435256
221,"rMACD(data,""close"",55,27,9)",0.0001439362299180035
217,"rMACD(data,""close"",51,25,9)",0.00014207359854534696
224,"rMACD(data,""close"",58,29,9)",0.00014163240249326286
225,"rMACD(data,""close"",59,29,9)",0.0001404991181073257
255,"rMACD(data,""open"",49,24,9)",0.00013902220709086254
854,"rSMA(data,""close"",200)",0.00013824650607903403
845,"rSMA(data,""close"",191)",0.00013629457181879259
691,"rSMA(data,""close"",37)",0.00013579218291777183
843,"rSMA(data,""close"",189)",0.00013472111413902516
851,"rSMA(data,""close"",197)",0.00013400806490868929
757,"rSMA(data,""close"",103)",0.00013055656506777912
220,"rMACD(data,""close"",54,27,9)",0.0001305041632292986
841,"rSMA(data,""close"",187)",0.00012949302261435966
261,"rMACD(data,""open"",55,27,9)",0.0001289058925557125
745,"rSMA(data,""close"",91)",0.00012883270271832033
857,"rSMA(data,""close"",203)",0.0001287506668718199
163,"RSI(data,""open"",17)",0.00012849542301071194
153,"RSI(data,""open"",7)",0.00012844039285184614
148,"RSI(data,""close"",38)",0.0001273362810652639
693,"rSMA(data,""close"",39)",0.0001267625323150809
134,"RSI(data,""close"",24)",0.0001265875157788607
847,"rSMA(data,""close"",193)",0.0001261727975843409
848,"rSMA(data,""close"",194)",0.00012569814992021908
771,"rSMA(data,""close"",117)",0.0001246262485316408
733,"rSMA(data,""close"",79)",0.00012354684038143047
743,"rSMA(data,""close"",89)",0.00012295135096145063
265,"rMACD(data,""open"",59,29,9)",0.00012204872816149038
24,"rBollinger(data,""close"",10)[0]",0.0001210936064999541
856,"rSMA(data,""close"",202)",0.0001203027737881929
500,"rEMA(data,""close"",136)",0.00012016248815784599
767,"rSMA(data,""close"",113)",0.00011912981688683741
223,"rMACD(data,""close"",57,28,9)",0.00011872018343337056
781,"rSMA(data,""close"",127)",0.00011760177678885843
496,"rEMA(data,""close"",132)",0.0001174078762245042
216,"rMACD(data,""close"",50,25,9)",0.00011682030327256378
481,"rEMA(data,""close"",117)",0.00011658898720413876
842,"rSMA(data,""close"",188)",0.00011493354354212088
456,"rEMA(data,""close"",92)",0.00011490918100441571
494,"rEMA(data,""close"",130)",0.00011490344478865954
697,"rSMA(data,""close"",43)",0.00011269684669864425
780,"rSMA(data,""close"",126)",0.00011112320733893514
791,"rSMA(data,""close"",137)",0.00011087303009737009
249,"rMACD(data,""open"",43,21,9)",0.00011067908083457325
838,"rSMA(data,""close"",184)",0.00011027437703469662
765,"rSMA(data,""close"",111)",0.00010975560977914988
864,"rSMA(data,""close"",210)",0.00010934040802810709
731,"rSMA(data,""close"",77)",0.00010926233674569136
775,"rSMA(data,""close"",121)",0.0001092164485717639
763,"rSMA(data,""close"",109)",0.00010913890056985595
865,"rSMA(data,""close"",211)",0.00010904645786613524
705,"rSMA(data,""close"",51)",0.00010758087524147296
692,"rSMA(data,""close"",38)",0.00010752861670388097
259,"rMACD(data,""open"",53,26,9)",0.0001075263822447241
490,"rEMA(data,""close"",126)",0.00010747372443921465
150,"RSI(data,""open"",4)",0.00010730794955908637
258,"rMACD(data,""open"",52,26,9)",0.00010648914347926764
699,"rSMA(data,""close"",45)",0.00010637911795647398
147,"RSI(data,""close"",37)",0.00010602156515973771
262,"rMACD(data,""open"",56,28,9)",0.00010595724875038254
497,"rEMA(data,""close"",133)",0.00010553512337967032
783,"rSMA(data,""close"",129)",0.0001053553821111239
703,"rSMA(data,""close"",49)",0.00010516349828287614
256,"rMACD(data,""open"",50,25,9)",0.00010447935219941446
761,"rSMA(data,""close"",107)",0.00010439120239722112
759,"rSMA(data,""close"",105)",0.00010420931270779185
732,"rSMA(data,""close"",78)",0.00010362879916479898
482,"rEMA(data,""close"",118)",0.00010327238547826717
792,"rSMA(data,""close"",138)",0.00010253247226981187
778,"rSMA(data,""close"",124)",0.00010184906270588753
131,"RSI(data,""close"",21)",0.00010184621559249062
735,"rSMA(data,""close"",81)",0.00010158447511770247
764,"rSMA(data,""close"",110)",0.00010050146106619041
858,"rSMA(data,""close"",204)",9.910840941563048e-05
789,"rSMA(data,""close"",135)",9.861620111725643e-05
110,"rBollinger(data,""close"",38)[2]",9.84535333808854e-05
859,"rSMA(data,""close"",205)",9.681257198923925e-05
786,"rSMA(data,""close"",132)",9.681240651975755e-05
737,"rSMA(data,""close"",83)",9.672341713422827e-05
840,"rSMA(data,""close"",186)",9.638368169970283e-05
861,"rSMA(data,""close"",207)",9.62748686640799e-05
188,"rMACD(data,""close"",22,11,9)",9.563836985707825e-05
862,"rSMA(data,""close"",208)",9.551767654128382e-05
863,"rSMA(data,""close"",209)",9.515147913520449e-05
798,"rSMA(data,""close"",144)",9.502319015615832e-05
741,"rSMA(data,""close"",87)",9.419182462893123e-05
813,"rSMA(data,""close"",159)",9.400550378945326e-05
784,"rSMA(data,""close"",130)",9.29759332452709e-05
853,"rSMA(data,""close"",199)",9.290917450223475e-05
756,"rSMA(data,""close"",102)",9.280953462883969e-05
782,"rSMA(data,""close"",128)",9.216764697951829e-05
740,"rSMA(data,""close"",86)",9.216755544496129e-05
247,"rMACD(data,""open"",41,20,9)",9.210684403788168e-05
867,"rSMA(data,""close"",213)",9.189479694903251e-05
817,"rSMA(data,""close"",163)",9.172930177417023e-05
860,"rSMA(data,""close"",206)",9.14107580503233e-05
248,"rMACD(data,""open"",42,21,9)",9.049618280146656e-05
794,"rSMA(data,""close"",140)",9.04788306060891e-05
257,"rMACD(data,""open"",51,25,9)",9.017628469241664e-05
790,"rSMA(data,""close"",136)",8.988706923084353e-05
132,"RSI(data,""close"",22)",8.983578889791802e-05
766,"rSMA(data,""close"",112)",8.942356188724377e-05
487,"rEMA(data,""close"",123)",8.930651486508674e-05
793,"rSMA(data,""close"",139)",8.906726396301859e-05
264,"rMACD(data,""open"",58,29,9)",8.889621243498124e-05
769,"rSMA(data,""close"",115)",8.862586353816453e-05
866,"rSMA(data,""close"",212)",8.842809862786381e-05
130,"RSI(data,""close"",20)",8.834142981672964e-05
776,"rSMA(data,""close"",122)",8.827146721906636e-05
796,"rSMA(data,""close"",142)",8.815576826094696e-05
812,"rSMA(data,""close"",158)",8.648530597752059e-05
499,"rEMA(data,""close"",135)",8.642637443514514e-05
869,"rSMA(data,""close"",215)",8.596627241219612e-05
263,"rMACD(data,""open"",57,28,9)",8.567115011604806e-05
469,"rEMA(data,""close"",105)",8.45876020578042e-05
492,"rEMA(data,""close"",128)",8.379715797922108e-05
871,"rSMA(data,""close"",217)",8.340234111787673e-05
831,"rSMA(data,""close"",177)",8.295313458084575e-05
751,"rSMA(data,""close"",97)",8.266723487332565e-05
484,"rEMA(data,""close"",120)",8.216540524147742e-05
700,"rSMA(data,""close"",46)",8.197680958614716e-05
187,"rMACD(data,""close"",21,10,9)",8.178206619933196e-05
337,"rATR(data,27)[2]",8.157947427093212e-05
107,"rBollinger(data,""close"",37)[2]",8.12076570407934e-05
826,"rSMA(data,""close"",172)",8.036776404498922e-05
133,"RSI(data,""close"",23)",7.979485778162928e-05
186,"rMACD(data,""close"",20,10,9)",7.93342321479711e-05
92,"rBollinger(data,""close"",32)[2]",7.863132974266713e-05
753,"rSMA(data,""close"",99)",7.827303219838826e-05
837,"rSMA(data,""close"",183)",7.814584402837936e-05
260,"rMACD(data,""open"",54,27,9)",7.802221716266756e-05
839,"rSMA(data,""close"",185)",7.744171773433595e-05
795,"rSMA(data,""close"",141)",7.711232408596927e-05
797,"rSMA(data,""close"",143)",7.68464094991553e-05
189,"rMACD(data,""close"",23,11,9)",7.638577128435777e-05
830,"rSMA(data,""close"",176)",7.635859647693587e-05
754,"rSMA(data,""close"",100)",7.598260707070785e-05
755,"rSMA(data,""close"",101)",7.579177509960137e-05
779,"rSMA(data,""close"",125)",7.569546791114237e-05
808,"rSMA(data,""close"",154)",7.490417798555849e-05
191,"rMACD(data,""close"",25,12,9)",7.479078953796567e-05
800,"rSMA(data,""close"",146)",7.463873845527718e-05
104,"rBollinger(data,""close"",36)[2]",7.451917277535183e-05
158,"RSI(data,""open"",12)",7.423514701606074e-05
749,"rSMA(data,""close"",95)",7.423246715870589e-05
835,"rSMA(data,""close"",181)",7.380878535578643e-05
734,"rSMA(data,""close"",80)",7.355310216288886e-05
760,"rSMA(data,""close"",106)",7.323428989716263e-05
777,"rSMA(data,""close"",123)",7.260065485541257e-05
836,"rSMA(data,""close"",182)",7.245263114558767e-05
95,"rBollinger(data,""close"",33)[2]",7.226974440483706e-05
787,"rSMA(data,""close"",133)",7.221391583182309e-05
491,"rEMA(data,""close"",127)",7.171388618579934e-05
750,"rSMA(data,""close"",96)",7.092139756857127e-05
758,"rSMA(data,""close"",104)",6.98019725573777e-05
815,"rSMA(data,""close"",161)",6.909051753928503e-05
479,"rEMA(data,""close"",115)",6.884094185120721e-05
785,"rSMA(data,""close"",131)",6.873516311017249e-05
190,"rMACD(data,""close"",24,12,9)",6.860517871966298e-05
829,"rSMA(data,""close"",175)",6.847697476219885e-05
816,"rSMA(data,""close"",162)",6.803706533799216e-05
788,"rSMA(data,""close"",134)",6.77261754978236e-05
98,"rBollinger(data,""close"",34)[2]",6.713200595012916e-05
503,"rEMA(data,""close"",139)",6.705273957649681e-05
773,"rSMA(data,""close"",119)",6.639655500763887e-05
488,"rEMA(data,""close"",124)",6.591987932734027e-05
818,"rSMA(data,""close"",164)",6.534644701644738e-05
65,"rBollinger(data,""close"",23)[2]",6.527154517295876e-05
493,"rEMA(data,""close"",129)",6.517306930631277e-05
833,"rSMA(data,""close"",179)",6.46750576941592e-05
8,"rBollinger(data,""close"",4)[2]",6.44981482021222e-05
